1,Алушта
2,Глебовка
3,Джанкой
4,Евпатория
5,Керчь
6,Николаевка
7,Саки
8,Севастополь
9,Симферополь
10,Судак
11,Феодосия
12,Черноморское
13,Ялта
14,Бар
15,Брацлав
16,Винница
17,Вороновица
18,Гайсин
19,Ждановка
20,Жмеринка
21,Калиновка
22,Могилев-Подольский
23,Томашполь
24,Тростянец
25,Тульчин
26,Хмельник
27,Владимир-Волынский
28,Ковель
29,Луцк
30,Нововолынск
31,Прилесное
32,Рованцы
33,Струмовка
34,Вербки
35,Днепродзержинск
36,Днепропетровск
37,Елизаветовка
38,Желтые Воды
39,Каменское
40,Коломийцы
41,Кривой Рог
42,Магдалиновка
43,Марганец
44,Нива Трудовая
45,Никополь
46,Новомосковск
47,Павлоград
48,Покровское
49,Просяна
50,Пятихатки
51,Синельниково
52,Славгород
53,Терновка
54,Червоногригоровка
55,Широкое
56,Юрьевка
57,Артемовск
58,Белицкое
59,Белозерское
60,Горловка
61,Горняк
62,Дзержинск
63,Доброполье
64,Донецк
65,Дружковка
66,Енакиево
67,Константиновка
68,Краматорск
69,Красноармейск
70,Красный Луч
71,Курицино
72,Макеевка
73,Мариуполь
74,Марьинка
75,Новогродовка
76,Новодонецкое
77,Новоиверское
78,Новокрасновка 
79,Новолуганское
80,Новоукраинка
81,Оленевка
82,Парасковиевка
83,Петропавловка
84,Северное
85,Селидово
86,Славянск
87,Снежное
88,Соледар
89,Торез
90,Угледар
91,Удачное
92,Украинск
93,Ханженково
94,Харцызск
95,Шахтерск
96,Бердичев
97,Житомир
98,Заречаны
99,Коростень
100,Коростышев
101,Любар
102,Новоград-Волынский
103,Овруч
104,Попельня
105,Ружин
106,Берегово
107,Иршава
108,Мукачево
109,Оноковцы
110,Свалява
111,Солочин
112,Тячев
113,Ужгород
114,Хуст
115,Бердянск
116,Васильевка
117,Веселое
118,Владимировское
119,Гуляйполе
120,Запорожье
121,Каменка-Днепровская
122,Мелитополь
123,Орехов
124,Пологи
125,Пришиб
126,Токмак
127,Энергодар
128,Брошнив-Осада
129,Ворохта
130,Ивано-Франковск
131,Калуш
132,Коломыя
133,Надворная
134,Ямница
135,Яремча
136,Барышевка
137,Белая Церковь
138,Белогородка
139,Березань
140,Борисполь
141,Бородянка
142,Боярка
143,Бровары
144,Буча
145,Васильков
146,Вишневое
147,Володарка
148,Вышгород
149,Гостомель
150,Дымер
151,Зикрачи
152,Ирпень
153,Кагарлык
154,Киев
155,Любарцы
156,Макаров
157,Мироновка
158,Обухов
159,Переяслав-Хмельницкий
160,Песковка
161,Пилиповичи
162,Свидовок
163,Сквира
164,Ставище
165,Тараща
166,Тетиев
167,Украинка
168,Фастов
169,Ходосовка
170,Чубинское
171,Яготин
172,Александрия
173,Алексеевка
174,Горный
175,Кировоград
176,Малая Виска
177,Неопалимовка
178,Новая Прага
179,Побугское
180,Светловодск
181,Смолино
182,Соколовское
183,Александровка
184,Алчевск
185,Антрацит
186,Вахрушево
187,Горское
188,Дубовский
189,Золотое-1
190,Золотое-3
191,Калининский
192,Краснодон
193,Крепенский
194,Лисичанск
195,Луганск
196,Лутугино
197,Новодружеск
198,Первомайск
199,Перевальск
200,Приволье
201,Ровеньки
202,Рубежное
203,Свердловск
204,Северодонецк
205,Софиевский
206,Стаханов
207,Тошковка
208,Фащевка
209,Шахтерское
210,Бобрка
211,Броды
212,Глухов
213,Городок
214,Дрогобыч
215,Жовква
216,Камянка-Бусская
217,Липники
218,Львов
219,Меденичи
220,Межиречье
221,Мостиская
222,Нежухов
223,Новый Роздол
224,Перемышляны
225,Пустомыты
226,Радехов
227,Силец
228,Сколе
229,Славское
230,Сокаль
231,Сокольники
232,Стебник
233,Стрый
234,Трускавец
235,Червоноград
236,Щирець
237,Баштанка
238,Вознесенск
239,Николаев
240,Южноукраинск
241,Авангард
242,Белгород-Днестровский
243,Беляевка
244,Благодатное
245,Болград
246,Великодолинское
247,Заводское
248,Зеленогорское
249,Измаил
250,Ильичевск
251,Котовск
252,Любашовка
253,Одесса
254,Раздельная
255,Сергеевка
256,Теплодар
257,Фонтанка
258,Шабо
259,Южный
260,Байрак
261,Гильцы
262,Глобино
263,Гребенка
264,Зеньков
265,Карловка
266,Ковалевка
267,Комсомольск
268,Котельва
269,Кременчуг
270,Куйбышево
271,Лохвица
272,Лубны
273,Миргород
274,Новые Санжары
275,Пирятин
276,Полтава
277,Решетиловка
278,Ромодан
279,Ульяновка
280,Федоровка
281,Хорол
282,Чернухи
283,Чутово
284,Горбаков
285,Дубно
286,Зоря
287,Кузнецовск
288,Ровно
289,Ахтырка
290,Калининское
291,Комыши
292,Конотоп
293,Лебедин
294,Ромны
295,Сумы
296,Шостка
297,Збараж
298,Кременец
299,Лановцы
300,Почаев
301,Тернополь
302,Шумск
303,Балаклея
304,Волчанск
305,Дергачи
306,Змиев
307,Изюм
308,Коломак
309,Комсомольское
310,Красноград
311,Купянск
312,Лозовая
313,Люботин
314,Малиновка
315,Первомайский
316,Подворки
317,Сахновщина
318,Солоницевка
319,Харьков
320,Чугуев
321,Эсхар
322,Каховка
323,Новая Каховка
324,Херсон
325,Чаплынка
326,Белогорье
327,Каменец-Подольский
328,Красилов
329,Нетишин
330,Подволочиск
331,Староконстантинов
332,Хмельницкий
333,Чемеровцы
334,Шепетовка
335,Белозорье
336,Ватутино
337,Золотоноша
338,Канев
339,Корсары
340,Корсунь-Шевченковский
341,Крутьки
342,Смела
343,Умань
344,Худяки
345,Черкассы
346,Чернобай
347,Шпола
348,Городня
349,Ичня
350,Мена
351,Нежин
352,Прилуки
353,Чернигов
354,Новоднестровск
355,Черновцы
